year;from_country_id;to_country_id;from_country;to_country;total_points
2016;ge;rs;ge;rs;0
2016;ge;hu;ge;hu;2
2016;ge;ge;ge;ge;0
2016;ge;cy;ge;cy;0
2016;ge;es;ge;es;0
2016;ge;hr;ge;hr;2
2016;ge;gb;ge;gb;0
2016;ge;cz;ge;cz;0
2016;ge;de;ge;de;1
2016;de;ua;de;ua;13
2016;de;au;de;au;11
2016;de;ru;de;ru;12
2016;de;bg;de;bg;4
2016;de;se;de;se;18
2016;de;fr;de;fr;0
2016;de;am;de;am;2
2016;de;pl;de;pl;10
2016;de;lt;de;lt;1
2016;de;be;de;be;5
2016;de;nl;de;nl;7
2016;de;mt;de;mt;0
2016;de;at;de;at;7
2016;de;il;de;il;12
2016;de;lv;de;lv;2
2016;de;it;de;it;4
2016;de;az;de;az;0
2016;de;rs;de;rs;0
2016;de;hu;de;hu;0
2016;de;ge;de;ge;8
2016;de;cy;de;cy;0
2016;de;es;de;es;0
2016;de;hr;de;hr;0
2016;de;gb;de;gb;0
2016;de;cz;de;cz;0
2016;de;de;de;de;0
2016;gr;ua;gr;ua;8
2016;gr;au;gr;au;12
2016;gr;ru;gr;ru;22
2016;gr;bg;gr;bg;7
2016;gr;se;gr;se;0
2016;gr;fr;gr;fr;10
2016;gr;am;gr;am;18
2016;gr;pl;gr;pl;3
2016;gr;lt;gr;lt;0
2016;gr;be;gr;be;0
2016;gr;nl;gr;nl;0
2016;gr;mt;gr;mt;4
2016;gr;at;gr;at;1
2016;gr;il;gr;il;0
2016;gr;lv;gr;lv;0
2016;gr;it;gr;it;0
2016;gr;az;gr;az;1
2016;gr;rs;gr;rs;0
2016;gr;hu;gr;hu;5
2016;gr;ge;gr;ge;5
2016;gr;cy;gr;cy;20
2016;gr;es;gr;es;0
2016;gr;hr;gr;hr;0
2016;gr;gb;gr;gb;0
2016;gr;cz;gr;cz;0
2016;gr;de;gr;de;0
2016;hu;ua;hu;ua;12
2016;hu;au;hu;au;15
2016;hu;ru;hu;ru;10
2016;hu;bg;hu;bg;4
2016;hu;se;hu;se;11
2016;hu;fr;hu;fr;1
2016;hu;am;hu;am;1
2016;hu;pl;hu;pl;8
2016;hu;lt;hu;lt;3
2016;hu;be;hu;be;0
2016;hu;nl;hu;nl;8
2016;hu;mt;hu;mt;10
2016;hu;at;hu;at;6
2016;hu;il;hu;il;0
2016;hu;lv;hu;lv;8
2016;hu;it;hu;it;0
2016;hu;az;hu;az;7
2016;hu;rs;hu;rs;0
2016;hu;hu;hu;hu;0
2016;hu;ge;hu;ge;0
2016;hu;cy;hu;cy;5
2016;hu;es;hu;es;5
2016;hu;hr;hu;hr;0
2016;hu;gb;hu;gb;0
2016;hu;cz;hu;cz;2
2016;hu;de;hu;de;0
2016;is;ua;is;ua;0
2016;is;au;is;au;18
2016;is;ru;is;ru;15
2016;is;bg;is;bg;0
2016;is;se;is;se;18
2016;is;fr;is;fr;7
2016;is;am;is;am;0
2016;is;pl;is;pl;10
2016;is;lt;is;lt;4
2016;is;be;is;be;6
2016;is;nl;is;nl;18
2016;is;mt;is;mt;4
2016;is;at;is;at;3
2016;is;il;is;il;0
2016;is;lv;is;lv;0
2016;is;it;is;it;0
2016;is;az;is;az;1
2016;is;rs;is;rs;0
2016;is;hu;is;hu;0
2016;is;ge;is;ge;0
2016;is;cy;is;cy;0
2016;is;es;is;es;0
2016;is;hr;is;hr;7
2016;is;gb;is;gb;0
2016;is;cz;is;cz;5
2016;is;de;is;de;0
2016;ie;ua;ie;ua;4
2016;ie;au;ie;au;6
2016;ie;ru;ie;ru;8
2016;ie;bg;ie;bg;15
2016;ie;se;ie;se;7
2016;ie;fr;ie;fr;3
2016;ie;am;ie;am;0
2016;ie;pl;ie;pl;10
2016;ie;lt;ie;lt;12
2016;ie;be;ie;be;12
2016;ie;nl;ie;nl;8
2016;ie;mt;ie;mt;0
2016;ie;at;ie;at;1
2016;ie;il;ie;il;4
2016;ie;lv;ie;lv;8
2016;ie;it;ie;it;6
2016;ie;az;ie;az;0
2016;ie;rs;ie;rs;0
2016;ie;hu;ie;hu;0
2016;ie;ge;ie;ge;0
2016;ie;cy;ie;cy;0
2016;ie;es;ie;es;0
2016;ie;hr;ie;hr;0
2016;ie;gb;ie;gb;10
2016;ie;cz;ie;cz;2
2016;ie;de;ie;de;0
2016;il;ua;il;ua;20
2016;il;au;il;au;15
2016;il;ru;il;ru;10
2016;il;bg;il;bg;14
2016;il;se;il;se;0
2016;il;fr;il;fr;20
2016;il;am;il;am;8
2016;il;pl;il;pl;4
2016;il;lt;il;lt;1
2016;il;be;il;be;7
2016;il;nl;il;nl;0
2016;il;mt;il;mt;0
2016;il;at;il;at;3
2016;il;il;il;il;0
2016;il;lv;il;lv;5
2016;il;it;il;it;0
2016;il;az;il;az;2
2016;il;rs;il;rs;0
2016;il;hu;il;hu;0
2016;il;ge;il;ge;0
2016;il;cy;il;cy;0
2016;il;es;il;es;4
2016;il;hr;il;hr;3
2016;il;gb;il;gb;0
2016;il;cz;il;cz;0
2016;il;de;il;de;0
2016;it;ua;it;ua;22
2016;it;au;it;au;6
2016;it;ru;it;ru;8
2016;it;bg;it;bg;7
2016;it;se;it;se;2
2016;it;fr;it;fr;12
2016;it;am;it;am;1
2016;it;pl;it;pl;10
2016;it;lt;it;lt;2
2016;it;be;it;be;0
2016;it;nl;it;nl;4
2016;it;mt;it;mt;5
2016;it;at;it;at;0
2016;it;il;it;il;8
2016;it;lv;it;lv;0
2016;it;it;it;it;0
2016;it;az;it;az;0
2016;it;rs;it;rs;4
2016;it;hu;it;hu;0
2016;it;ge;it;ge;6
2016;it;cy;it;cy;7
2016;it;es;it;es;12
2016;it;hr;it;hr;0
2016;it;gb;it;gb;0
2016;it;cz;it;cz;0
2016;it;de;it;de;0
2016;lv;ua;lv;ua;22
2016;lv;au;lv;au;11
2016;lv;ru;lv;ru;19
2016;lv;bg;lv;bg;2
2016;lv;se;lv;se;15
2016;lv;fr;lv;fr;0
2016;lv;am;lv;am;6
2016;lv;pl;lv;pl;5
2016;lv;lt;lv;lt;18
2016;lv;be;lv;be;0
2016;lv;nl;lv;nl;3
2016;lv;mt;lv;mt;4
2016;lv;at;lv;at;4
2016;lv;il;lv;il;2
2016;lv;lv;lv;lv;0
2016;lv;it;lv;it;0
2016;lv;az;lv;az;3
2016;lv;rs;lv;rs;0
2016;lv;hu;lv;hu;0
2016;lv;ge;lv;ge;2
2016;lv;cy;lv;cy;0
2016;lv;es;lv;es;0
2016;lv;hr;lv;hr;0
2016;lv;gb;lv;gb;0
2016;lv;cz;lv;cz;0
2016;lv;de;lv;de;0
2016;lt;ua;lt;ua;18
2016;lt;au;lt;au;17
2016;lt;ru;lt;ru;8
2016;lt;bg;lt;bg;2
2016;lt;se;lt;se;7
2016;lt;fr;lt;fr;4
2016;lt;am;lt;am;4
2016;lt;pl;lt;pl;9
2016;lt;lt;lt;lt;0
2016;lt;be;lt;be;5
2016;lt;nl;lt;nl;0
2016;lt;mt;lt;mt;0
2016;lt;at;lt;at;1
2016;lt;il;lt;il;6
2016;lt;lv;lt;lv;19
2016;lt;it;lt;it;0
2016;lt;az;lt;az;0
2016;lt;rs;lt;rs;0
2016;lt;hu;lt;hu;2
2016;lt;ge;lt;ge;14
2016;lt;cy;lt;cy;0
2016;lt;es;lt;es;0
2016;lt;hr;lt;hr;0
2016;lt;gb;lt;gb;0
2016;lt;cz;lt;cz;0
2016;lt;de;lt;de;0
2016;mt;ua;mt;ua;4
2016;mt;au;mt;au;15
2016;mt;ru;mt;ru;14
2016;mt;bg;mt;bg;18
2016;mt;se;mt;se;0
2016;mt;fr;mt;fr;8
